Walor,Kurs (PLN),Zmiana (%),Otwarcie,Min,Max,Obrót (szt.),Obrót (PLN),"Czas
aktualizacji"
Mercator Medical SA,10.8,0,11.15,10.7,11.15,6066,65467,2019-01-04
Mercor SA,8.76,4.29,8.48,8.48,8.76,800,6885,2019-01-04
Mex Polska SA,3.78,-2.83,3.78,3.57,3.78,683,2439,2019-01-04
MFO SA,22.4,0.9,23,22.2,23,418,9336,2019-01-04
Milkiland NV,0.25,19.05,0.25,0.25,0.25,13411,3353,2019-01-04
Miraculum SA,1.52,0,1.52,1.52,1.52,1100,1672,2019-01-04
Mirbud SA,1.03,0,1.03,1.03,1.04,66069,68290,2019-01-04
ML System SA,27.89,-0.39,28,27.5,28.1,1456,40704,2019-01-04
MLP Group SA,44,0,44,43.8,44,5059,222506,2019-01-04
Mo-Bruk SA,43.2,0,0,0,0,0,0,2019-01-03
MOJ SA,0.58,-1.69,0.59,0.58,0.59,3500,2050,2019-01-04
MOL Rt.,39.88,0,0,0,0,0,0,2019-01-03
Monnari Trade SA,4.3,0.23,4.27,4.27,4.3,17869,76777,2019-01-04
Mostostal Płock SA,3.02,-8.48,3.3,2.97,3.3,13708,41606,2019-01-04
Mostostal Warszawa SA,2.26,-2.59,2.36,2.24,2.36,3708,8512,2019-01-04
Mostostal Zabrze SA,0.22,-4.35,0.23,0.22,0.23,230078,52476,2019-01-04
Muza SA,2.9,4.32,2.9,2.9,2.9,4963,14393,2019-01-04
MW Trade SA,2.98,1.36,3.04,2.98,3.06,1888,5719,2019-01-04
MZN Property SA,1.15,0,1.15,1.15,1.15,1000,1150,2019-01-04
NanoGroup SA,2.5,0,0,0,0,0,0,2019-01-03
Netia SA,5.13,1.79,5.04,5.04,5.14,53150,271000,2019-01-04
Netmedia SA,10.7,0,0,0,0,0,0,2019-01-03
Neuca SA,230.5,-1.28,234,229,234.5,2177,501867,2019-01-04
New World Resources Plc,0.02,0,0,0,0,0,0,2019-01-03
